file_name,source_url,folder
CIO_Board_Presentations_WSJDeloitte,https://deloitte.wsj.com/cio/6-elements-of-effective-board-presentations-for-cios-91edbf36,01 – Board & Executive Influence
Expanding_CIO_Influence_Podcast,https://www.wsj.com/podcasts/sponsored/techfluential-by-deloitte/expanding-cio-influence-in-the-c-suite/54C8FFF5-487A-4C53-8285-F59E110D4B74,01 – Board & Executive Influence
Boards_Amid_Cyber_Disruption,https://ciotechworld.com/john-t-marcante-3-key-questions-for-boards-amid-global-it-outages-and-cyber-disruptions/,01 – Board & Executive Influence
Tech_Execs_Reporting_Structure,https://deloitte.wsj.com/cio/tech-execs-reporting-for-dutybut-where-should-they-report-f94ade27?mod=djemCIO,01 – Board & Executive Influence
CFO_and_CIO_Leading_Together,https://www.cfo.com/news/why-cfos-and-cios-should-lead-together-to-accelerate-strategic-technology-u/709286/,01 – Board & Executive Influence
Developing_Winning_Tech_Strategy_CFO_Dive,https://www.cfodive.com/news/developing-winning-tech-strategy-organization-deloitte/725071/,01 – Board & Executive Influence
Strategic_Origination_Tech_Leaders,https://deloitte.wsj.com/cio/strategic-origination-can-help-tech-leaders-imagine-new-opportunities-c49cb648?mod=djemCIO,02 – Strategy & Transformation
Unleashing_Digital_Transformation,Unleashing value from digital transformation: A real-world perspective,02 – Strategy & Transformation
Digital_Transformation_Momentum,https://enterprisersproject.com/article/2022/1/maintaining-momentum-digital-transformation-new-hbr-analytic-services-report,02 – Strategy & Transformation
Vanguard_Startup_Mentality,https://www.cio.com/article/189494/vanguard-cio-john-marcante-on-the-startup-mentality.html,02 – Strategy & Transformation
Think_Like_a_Startup,https://enterprisersproject.com/article/2021/6/how-help-organization-think-like-startup,02 – Strategy & Transformation
Comfort_Zone_Career_Growth,http://www.cio.com/article/3119305/careers-staffing/being-pushed-out-of-your-comfort-zone-can-make-your-it-career.html,02 – Strategy & Transformation
Transformation_Model_Speed_Innovation,https://enterprisersproject.com/article/2016/11/transformation-model-enables-vanguard-it-increase-speed-and-innovation,02 – Strategy & Transformation
Go_Lean_Fail_Fast,http://corporate-finance.cioreview.com/cxoinsight/go-lean-and-failfast--nid-12775-cid-47.html,02 – Strategy & Transformation
Evolving_Tech_Leader_Competencies,https://deloitte.wsj.com/articles/the-evolving-competencies-of-the-technology-leader-6b590c2b,03 – Leadership & Culture
Improve_Engagement_Tech_Teams,https://deloitte.wsj.com/articles/4-ways-to-improve-engagement-on-technology-teams-01660584661,03 – Leadership & Culture
Skills_CIOs_2023,https://enterprisersproject.com/article/2022/11/6-non-negotiable-skills-cios-2023,03 – Leadership & Culture
Employee_Engagement_3_Ways,https://enterprisersproject.com/article/2019/8/employee-engagement-3-ways,03 – Leadership & Culture
True_Agile_Insights,https://enterprisersproject.com/article/2018/11/what-youre-doing-true-agile,03 – Leadership & Culture
When_Business_Leaders_Speak_Tech,https://enterprisersproject.com/article/2018/3/vanguard-cio-when-business-leaders-speak-tech,03 – Leadership & Culture
Vanguard_IT_Culture_3_Elements,https://enterprisersproject.com/article/2018/1/3-elements-vanguard-s-successful-it-culture,03 – Leadership & Culture
Culture_Business_Outcomes,http://www.cio.com/article/3184756/careers-staffing/tips-for-building-a-culture-around-business-outcomes.html,03 – Leadership & Culture
Retaining_IT_Talent,https://enterprisersproject.com/article/2015/6/vanguard-cio-retaining-it-talent-begins-developing-strong-leaders,03 – Leadership & Culture
Mentorship_Two_Way_Street,https://enterprisersproject.com/article/2014/8/best-it-mentorships-are-two-way-street,03 – Leadership & Culture
Innovation_Multiple_Forms,https://enterprisersproject.com/article/2016/12/innovation-comes-multiple-forms-heres-how-vanguard-cio-encourages-new-ideas,04 – Innovation
CIO_Innovation_Award,http://www.forbes.com/sites/peterhigh/2016/03/22/forbes-cio-innovation-award-vanguard-cio-helps-drive-development-of-digital-cfo-idea/#357e09763dcc,04 – Innovation
Client_Labs_Big_Data,https://enterprisersproject.com/article/2015/8/client-labs-big-data-how-vanguard-has-evolved-customer-experience,04 – Innovation
Design_Thinking_Customer_Experience,https://enterprisersproject.com/article/2016/4/how-vanguard-uses-design-thinking-improve-customer-experiences,04 – Innovation
Microservices_Evolution,https://enterprisersproject.com/article/2017/2/vanguard-cio-why-we-re-journey-evolve-microservices-architecture,04 – Innovation
Software_Centric_Roundtable,https://enterprisersproject.com/article/2016/5/software-centric-roundtable,04 – Innovation
Human_Machine_Collaboration,http://www.cio.com/article/3048318/vertical-industries/roboadvisors-stand-at-the-vanguard-of-human-machine-collaboration.html,04 – Innovation
Flywheels_Crowdsourcing_CTO,http://www.cio.com/article/2689225/leadership-management/flywheels-crowdsourcing-and-a-new-office-of-the-cto.html,04 – Innovation
Leading_Through_Crisis,https://enterprisersproject.com/article/2020/5/vanguard-cio-leading-crisis,05 – Crisis Leadership
Right_the_Ship,https://www.evanta.com/resources/cio/leadership-profile/right-the-ship-staying-afloat-in-times-of-uncertainty,05 – Crisis Leadership
Cyber_Disruptions_Board_Questions,https://ciotechworld.com/john-t-marcante-3-key-questions-for-boards-amid-global-it-outages-and-cyber-disruptions/,05 – Crisis Leadership
Successful_Career_Profile,https://vista.today/2016/10/chester-county-careers-take-build-successful-career/,06 – Career
Comfort_Zone_IT_Career,http://www.cio.com/article/3119305/careers-staffing/being-pushed-out-of-your-comfort-zone-can-make-your-it-career.html,06 – Career
The_Big_Leap,http://www.waterstechnology.com/waters/feature/2395776/vanguard-cio-john-marcante-the-big-leap,06 – Career
Early_Career_Lessons,https://enterprisersproject.com/article/2015/10/hindsight-what-7-it-leaders-wish-they-had-known-early-their-careers,06 – Career
Aspire_Tech_Strategist,https://enterprisersproject.com/article/2015/8/aspire-be-technology-strategist-whatever-your-title-says,06 – Career
YouTube_Interview_1,https://lnkd.in/eHdrWyDu,07 – Media
YouTube_Interview_2,https://youtu.be/elRJFfgXVsg?si=_RnO215OkLsiNX0B,07 – Media
